"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Team America: World Police ",98,"Trey Parker",406,"Jeremy Shada",860,"Maurice LaMarche",523,"Trey Parker",406,233,700,136048,2609,0,"actor|arab stereotype|broadway|terrorist|vomiting",5,"Color","Action|Comedy",2004,"English","USA","R",2.35,"http://www.imdb.com/title/tt0372588/?ref_=fn_tt_tt_1",32774834,3e+07,7.2
"Stand by Me ",89,"Rob Reiner",0,"Marshall Bell",217,"Frances Lee McCain",107,"Casey Siemaszko",107,99,584,271794,644,24000,"friendship|summertime|treehouse|walking on train tracks|woods",2,"Color","Adventure|Drama",1986,"English","USA","R",1.85,"http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1",52287414,8e+06,8.1
"Outside Providence ",96,"Michael Corrente",30,"Jonathan Brandis",761,"George Wendt",412,"Shawn Hatosy",407,72,100,7736,2018,0,"class|cornwall connecticut|dog|friend|pawtucket rhode island",3,"Color","Comedy|Drama|Romance",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0125971/?ref_=fn_tt_tt_1",7292175,7e+06,6.4
"High School Musical 3: Senior Year ",112,"Kenny Ortega",197,"Lucas Grabeel",755,"Matt Prokop",734,"Corbin Bleu",632,128,171,43795,3507,0,"basketball|curtain call|graduation|high school|high school senior",1,"Color","Comedy|Drama|Family|Music|Musical|Romance",2008,"English","USA","G",1.85,"http://www.imdb.com/title/tt0962726/?ref_=fn_tt_tt_1",90556401,1.1e+07,4.5
"Disturbia ",105,"D.J. Caruso",154,"Sarah Roemer",884,"Aaron Yoo",617,"Jose Pablo Cantillo",501,253,491,186984,2287,0,"binoculars|electronic tag|house arrest|neighbor|watching someone",0,"Color","Drama|Mystery|Thriller",2007,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0486822/?ref_=fn_tt_tt_1",80050171,2e+07,6.9
"Warcraft ",123,"Duncan Jones",0,"Dominic Cooper",3000,"Callum Rennie",716,"Ruth Negga",648,275,781,111609,5505,89000,"based on video game|fictional language|fictional war|orc|sword and sorcery",0,"Color","Action|Adventure|Fantasy",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1",46978995,1.6e+08,7.3
"Private Benjamin ",109,"Howard Zieff",6,"Eileen Brennan",1000,"Albert Brooks",745,"Alan Oppenheimer",271,25,60,18140,2419,855,"camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose",1,"Color","Comedy|War",1980,"English","USA","R",1.85,"http://www.imdb.com/title/tt0081375/?ref_=fn_tt_tt_1",69800000,1e+07,6.1
"The Replacement Killers ",96,"Antoine Fuqua",845,"Mira Sorvino",978,"Clifton Collins Jr.",968,"Patrick Kilpatrick",488,105,167,23345,3072,629,"forger|hitman|passport|police|replacement",2,"Color","Action|Crime|Thriller",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0120008/?ref_=fn_tt_tt_1",18967571,3e+07,6.1
"Election ",103,"Alexander Payne",729,"Matthew Broderick",2000,"Chris Klein",841,"Molly Hagan",133,175,441,73640,3516,0,"female protagonist|high school|self destructiveness|student council president|student government",0,"Color","Comedy|Drama",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0126886/?ref_=fn_tt_tt_1",14879556,8e+06,7.3
"Bad Grandpa ",102,"Jeff Tremaine",79,"Jackson Nicoll",925,"Georgina Cates",38,"Grasie Mercedes",27,157,162,77724,1018,26000,"child beauty pageant|grandson|hidden camera|jackass|road trip",0,"Color","Comedy",2013,"English","USA","R",1.85,"http://www.imdb.com/title/tt3063516/?ref_=fn_tt_tt_1",101978840,1.5e+07,6.6
