"","movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score","ROE","ROE_B","ROI","scs"
"1","Stand by Me ",89,"Rob Reiner",0,"Marshall Bell",217,"Frances Lee McCain",107,"Casey Siemaszko",107,99,584,271794,644,24000,"friendship|summertime|treehouse|walking on train tracks|woods",2,"Color","Adventure|Drama",1986,"English","USA","R",1.85,"http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1",52287414,8000000,8.1,5.54,1,5.53592675,1
"7","Unbreakable ",106,"M. Night Shyamalan",0,"Robin Wright",18000,"Bruce Willis",13000,"Michael Kelly",963,294,1344,245152,33645,0,"child with gun|comic book|invulnerability|superhero|train crash",0,"Color","Drama|Mystery|Sci-Fi|Thriller",2000,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0217869/?ref_=fn_tt_tt_1",94999143,75000000,7.2,0.27,0,0.26665524,0
"10","Drumline ",118,"Charles Stone III",30,"Leonard Roberts",962,"Nick Cannon",593,"Jason Weaver",284,64,185,28649,2390,2000,"drumline|drummer|fish out of water|marching band|university",0,"Color","Comedy|Drama|Music|Romance",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0303933/?ref_=fn_tt_tt_1",56398162,20000000,5.7,1.82,1,1.8199081,1
"13","The Devil Wears Prada ",109,"David Frankel",64,"Meryl Streep",11000,"Anne Hathaway",11000,"Rebecca Mader",505,208,631,286178,23923,0,"fashion|fashion industry|magazine|new york city|publishing",0,"Color","Comedy|Drama|Romance",2006,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1",124732962,35000000,6.8,2.56,1,2.56379891428571,1
"14","Good Boy! ",87,"John Hoffman",9,"Liam Aiken",818,"Molly Shannon",636,"Kevin Nealon",503,52,48,3407,2164,309,"dog|friend|neighborhood|planet|star",1,"Color","Comedy|Drama|Family|Fantasy|Sci-Fi",2003,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0326900/?ref_=fn_tt_tt_1",37566230,17000000,5.1,1.21,1,1.20977823529412,1
"16","Goldfinger ",110,"Guy Hamilton",82,"Honor Blackman",387,"Gert Fröbe",202,"Lois Maxwell",177,164,418,139432,1198,0,"bikini|covered in melted gold|fort knox|gold|pilot",2,"Color","Action|Adventure|Thriller",1964,"English","UK","Approved",1.37,"http://www.imdb.com/title/tt0058150/?ref_=fn_tt_tt_1",51100000,3000000,7.8,16.03,1,16.0333333333333,1
"18","This Is the End ",107,"Evan Goldberg",133,"Channing Tatum",17000,"James Franco",11000,"Emma Watson",9000,418,669,310540,38751,97000,"apocalypse|celebrity|ensemble cast|party|rapture",6,"Color","Comedy|Fantasy",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt1245492/?ref_=fn_tt_tt_1",101470202,32000000,6.7,2.17,1,2.1709438125,1
"19","The Lazarus Effect ",83,"David Gelb",26,"Olivia Wilde",10000,"Mark Duplass",830,"Donald Glover",801,152,126,28513,11771,0,"electrocuted|experiment|hell|serum|university",0,"Color","Horror|Sci-Fi|Thriller",2015,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2918436/?ref_=fn_tt_tt_1",25799043,3300000,5.2,6.82,1,6.81789181818182,1
"22","She's the Man ",105,"Andy Fickman",99,"Channing Tatum",17000,"Alexandra Breckenridge",1000,"Laura Ramsey",960,91,261,116762,20109,0,"disguise|roommate|school|soccer|twin",0,"Color","Comedy|Romance",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0454945/?ref_=fn_tt_tt_1",33687630,20000000,6.4,0.68,1,0.6843815,0
"23","S.W.A.T. ",117,"Clark Johnson",69,"Jeremy Renner",10000,"Josh Charles",1000,"LL Cool J",1000,144,340,119807,14486,0,"hostage|police|prison|swat team|training",1,"Color","Action|Adventure|Crime|Thriller",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1",116643346,80000000,6,0.46,0,0.458041825,0
"24","The Odd Life of Timothy Green ",105,"Peter Hedges",54,"Jennifer Garner",3000,"Odeya Rush",2000,"Common",988,169,110,37398,9069,11000,"dodgeball|portrait|soccer|soccer game|young love",0,"Color","Comedy|Drama|Family|Fantasy",2012,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1462769/?ref_=fn_tt_tt_1",51853450,25000000,6.6,1.07,1,1.074138,1
"26","The New Guy ",92,"Ed Decter",13,"Zooey Deschanel",11000,"Eddie Griffin",489,"Gene Simmons",301,49,159,28805,12687,1000,"cheerleader|geek|high school|prison|reference to janet jackson",1,"Color","Comedy",2002,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0241760/?ref_=fn_tt_tt_1",28972187,13000000,5.9,1.23,1,1.22862976923077,1
"33","Harry Potter and the Chamber of Secrets ",174,"Chris Columbus",0,"Daniel Radcliffe",11000,"Rupert Grint",10000,"Emma Watson",9000,232,858,387616,35672,0,"bildungsroman|flying broom|invisibility cloak|monster|wizardry",1,"Color","Adventure|Family|Fantasy|Mystery",2002,"English","UK","PG",2.35,"http://www.imdb.com/title/tt0295297/?ref_=fn_tt_tt_1",261970615,100000000,7.4,1.62,1,1.61970615,1
"34","In Too Deep ",95,"Michael Rymer",48,"LL Cool J",1000,"Omar Epps",865,"Nia Long",826,28,29,4598,4837,375,"cunnilingus|oral sex|police|sex scene|undercover",1,"Color","Crime|Drama|Thriller",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1",14003141,7000000,6.1,1,1,1.00044871428571,1
"35","Harry Potter and the Order of the Phoenix ",138,"David Yates",282,"Robert Pattinson",21000,"Daniel Radcliffe",11000,"Fiona Shaw",687,329,1108,355137,33433,0,"battle|magic|school|teacher|wizard",3,"Color","Adventure|Family|Fantasy|Mystery",2007,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1",292000866,150000000,7.5,0.95,1,0.94667244,0
"37","Ice Age: Continental Drift ",88,"Steve Martino",20,"Peter Dinklage",22000,"Josh Gad",1000,"Drake",916,233,139,145321,25354,14000,"acorn|herd|iceberg|ocean|pirate",0,"Color","Adventure|Animation|Comedy|Family",2012,"English","USA","PG",2.35,"http://www.imdb.com/title/tt1667889/?ref_=fn_tt_tt_1",161317423,95000000,6.6,0.7,1,0.698078136842105,0
"38","Teenage Mutant Ninja Turtles II: The Secret of the Ooze ",88,"Michael Pressman",34,"Kevin Nash",642,"Paige Turco",533,"Ernie Reyes Jr.",445,68,93,42765,2501,0,"chop socky|mutant|ninja|shredder|turtle",0,"Color","Action|Adventure|Comedy|Family|Sci-Fi",1991,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0103060/?ref_=fn_tt_tt_1",78656813,25000000,6,2.15,1,2.14627252,1
"43","Martin Lawrence Live: Runteldat ",113,"David Raynr",9,"Nancy O'Dell",71,"Mikki Padilla",65,"Dayna Devon",12,24,35,1466,159,63,"actor name in title|colon in title|four word title|live performance|satire",1,"Color","Biography|Comedy|Documentary",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0327036/?ref_=fn_tt_tt_1",19184015,3000000,5.4,5.39,1,5.39467166666667,1
"46","Tinker Tailor Soldier Spy ",127,"Tomas Alfredson",140,"Benedict Cumberbatch",19000,"Colin Firth",14000,"Gary Oldman",10000,466,517,149066,46241,24000,"cold war|hungary|mole|spy|woman on top",1,"Color","Drama|Mystery|Thriller",2011,"English","France","R",2.35,"http://www.imdb.com/title/tt1340800/?ref_=fn_tt_tt_1",24104113,20000000,7.1,0.21,0,0.20520565,0
